,city,room_price,image_count,adult_occupancy,child_occupancy,property_id,num_amenities,zones,descr_len,deluxe,num_simhotel,wifi,ac,breakfast,service_value,acceptance_rate,response_label,Apartment,Homestay,Hotel,House,Lodge,Resort,Spa,Villa
44,Jodhpur,3328.0,0.0,2.0,2.0,11768.0,2.0,3.0,87.0,1.0,12.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,Kakinada,1718.0,0.0,1.0,1.0,10773.0,6.0,1.0,89.0,0.0,2.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,Jharsuguda,1268.0,0.0,1.0,2.0,14814.0,2.0,2.0,95.0,1.0,6.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47,Jammu,473.0,0.0,2.0,2.0,61322.0,1.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,Jalandhar,15889.0,0.0,2.0,2.0,67858.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49,Jind,1512.0,0.0,2.0,2.0,66990.0,7.0,3.0,135.0,1.0,3.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50,Jammu,1076.0,38.0,2.0,2.0,61618.0,4.0,3.0,107.0,0.0,9.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,Jammu,612.0,19.0,2.0,2.0,62402.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52,Kanpur,889.0,29.0,1.0,1.0,66682.0,2.0,0.0,81.0,0.0,10.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
53,Jhansi,178.0,19.0,1.0,2.0,37444.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,Jodhpur,2250.0,12.0,2.0,2.0,15398.0,1.0,3.0,126.0,1.0,14.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55,Jodhpur,300.0,0.0,2.0,2.0,56516.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,Jodhpur,889.0,11.0,2.0,2.0,41054.0,2.0,3.0,130.0,1.0,11.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
57,Jodhpur,6033.0,40.0,1.0,2.0,41990.0,1.0,3.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
58,Jalandhar,436.0,0.0,1.0,1.0,30954.0,4.0,3.0,102.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,Digha,750.0,7.0,2.0,2.0,35850.0,2.0,2.0,110.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60,Jamnagar,400.0,28.0,1.0,1.0,28523.0,2.0,3.0,96.0,0.0,3.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,Kanpur,936.0,26.0,2.0,2.0,77266.0,5.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
62,Jodhpur,18606.0,6.0,2.0,2.0,62924.0,2.0,3.0,129.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63,Jodhpur,156.0,0.0,1.0,1.0,67600.0,1.0,3.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
64,Manampathi,1112.0,19.0,2.0,1.0,110640.0,5.0,1.0,31.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
65,Jammu,1413.0,53.0,2.0,2.0,62486.0,2.0,3.0,102.0,0.0,10.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66,Jodhpur,410.0,9.0,8.0,2.0,40748.0,2.0,3.0,101.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
67,Jammu,934.0,34.0,2.0,2.0,55950.0,2.0,3.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,Kanchipuram,5334.0,12.0,6.0,2.0,51398.0,3.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
69,Jalandhar,1112.0,0.0,2.0,2.0,67532.0,6.0,3.0,118.0,0.0,12.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
70,Mandarmani,1600.0,9.0,2.0,2.0,55574.0,3.0,2.0,90.0,0.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71,Jodhpur,8334.0,6.0,1.0,2.0,514.0,1.0,3.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
72,Jodhpur,334.0,14.0,1.0,1.0,24373.0,2.0,3.0,98.0,0.0,10.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
73,Kakinada,445.0,4.0,1.0,1.0,21737.0,1.0,1.0,114.0,0.0,5.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
74,Jodhpur,2667.0,45.0,2.0,2.0,13278.0,5.0,3.0,75.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
75,Kanpur,1445.0,7.0,2.0,2.0,28625.0,5.0,0.0,101.0,1.0,10.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
76,Jalandhar,802.0,0.0,2.0,2.0,30880.0,2.0,3.0,88.0,0.0,4.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
77,Jodhpur,1265.0,2.0,2.0,2.0,67530.0,2.0,3.0,94.0,1.0,5.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
78,Digha,400.0,3.0,2.0,2.0,60582.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
79,Jodhpur,1965.0,9.0,1.0,2.0,19619.0,1.0,3.0,190.0,1.0,8.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
80,Jodhpur,1107.0,10.0,1.0,2.0,28677.0,2.0,3.0,96.0,1.0,9.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
81,Digha,1278.0,2.0,2.0,2.0,75640.0,2.0,2.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82,Jamshedpur,2943.0,16.0,2.0,2.0,36418.0,6.0,2.0,108.0,1.0,12.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83,Katra,3223.0,69.0,2.0,2.0,1427.0,2.0,3.0,114.0,0.0,10.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84,Kanpur,4438.0,7.0,2.0,2.0,46912.0,2.0,0.0,136.0,1.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
85,Kakinada,473.0,2.0,2.0,2.0,46970.0,3.0,1.0,100.0,0.0,13.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
86,Jodhpur,2667.0,28.0,2.0,2.0,44304.0,2.0,3.0,121.0,1.0,14.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
87,Kalimpong,980.0,4.0,2.0,2.0,67044.0,1.0,2.0,189.0,0.0,11.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
88,Digha,1262.0,13.0,2.0,2.0,21357.0,7.0,2.0,106.0,1.0,13.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89,Jalpaiguri,300.0,24.0,1.0,1.0,52364.0,0.0,2.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
90,Gangtok,567.0,5.0,2.0,1.0,115548.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Jalandhar,500.0,0.0,2.0,2.0,71342.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
92,Jalpaiguri,900.0,3.0,2.0,2.0,21421.0,1.0,2.0,155.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
93,Jhansi,756.0,22.0,2.0,1.0,111426.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Jammu,556.0,37.0,2.0,2.0,62494.0,4.0,3.0,95.0,0.0,10.0,1.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
95,Thane,4458.0,9.0,2.0,2.0,12296.0,2.0,1.0,86.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
96,Peddapalle,2.0,7.0,1.0,1.0,113448.0,3.0,1.0,30.0,0.0,0.0,1.0,1.0,0.0,1.0,56.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Jalandhar,889.0,0.0,1.0,1.0,55922.0,3.0,3.0,107.0,0.0,11.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
98,Jammu,1556.0,66.0,2.0,2.0,16448.0,1.0,3.0,98.0,1.0,11.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
99,Kadapa,1050.0,3.0,2.0,2.0,19509.0,6.0,1.0,90.0,0.0,2.0,1.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
